objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Big Shot","1125","9","3","0","1","0","0","0","0","0","0","0","3","","","","","","107708060","6.03474","7.01355","2","2971","2079","thing","Big Shot","2","4","30","30","30","2001","2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","Dutch; English; French; German; Italian","2001","Multilingual edition"
"Bitoku","323612","8.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","114630816","7.19867","7.78053","3.7681","304","15290","thing","Bitoku","1","4","120","120","120","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bitoku: Resutoran","383122","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116400835","5.84338","8.02245","3.5714","0","3094","thing","Bitoku: Resutoran","1","4","120","120","120","2023","2,3,4","2,3,4","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Boletaires","122298","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","126964820","6.65011","6.9692","1.7366","1003","19297","thing","Morels","2","2","30","30","30","2014","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HomoLudicus","Catalan","2014","Catalan edition 2014"
"Bora Bora","127060","9.5","4","0","1","0","0","0","0","0","0","0","2","","","","","","76584972","7.17088","7.55818","3.7236","325","13086","thing","Bora Bora","2","4","120","120","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bora Bora: Orange God Tiles","149712","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122531547","5.75652","7.4346","2.3889","0","1409","thing","Bora Bora: Orange God Tiles","2","4","60","60","60","2013","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Broom Service","172308","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","135616633","6.86032","7.17048","2.3868","668","17842","thing","Broom Service","2","5","75","75","30","2015","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bruxelles 1893","144592","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","118686440","6.97813","7.58803","3.5829","524","6534","thing","Bruxelles 1893","2","5","125","125","50","2013","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"CABO (Second Edition)","271321","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","95288971","6.33446","7.29529","1.2245","1748","4930","thing","CABO (Second Edition)","2","4","45","45","45","2019","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"¡Caninos!","301544","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88539703","0","6.11111","2","0","112","thing","¡Caninos!","2","6","40","40","20","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","9.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","75940583","7.29868","7.41624","1.8857","239","222181","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Devir; Hans im Glück","Portuguese; Spanish","2000","Portuguese/Spanish edition 2000"
"Carcassonne","822","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","121588298","7.29868","7.41624","1.8857","239","222181","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Hunters and Gatherers","4390","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","95493388","6.85023","7.13166","1.9218","687","19392","thing","Carcassonne: Hunters and Gatherers","2","5","40","40","35","2002","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: The Castle","7717","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","128670092","6.73385","7.10455","1.9852","845","13521","thing","Carcassonne: The Castle","2","2","45","45","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carpe Diem","245934","8.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","84864935","7.0496","7.49333","2.5361","443","13942","thing","Carpe Diem","2","4","75","75","45","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartaventura: Vinland","327077","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","88530337","5.73481","6.2392","1.14","5622","3904","thing","Cartaventura: Vinland","1","6","45","45","45","2021","1,2","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Castell","238638","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","137133102","6.40916","7.37967","3.1474","1545","2912","thing","Castell","2","4","90","90","60","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","271320","9.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","75940171","8.0054","8.45333","2.9151","0","30018","thing","The Castles of Burgundy","1","4","120","120","70","2019","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cat in the Box: Deluxe Edition","345972","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","114504669","7.11667","7.43858","2.0424","371","24311","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2022","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","75940593","6.90459","7.09133","2.2828","615","238656","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catch the Moon","218129","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","113743633","6.06144","6.75195","1","2835","3576","thing","Catch the Moon","1","6","20","20","20","2017","1,2,3,4,5","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cathedral","7","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","117237324","6.11271","6.55362","1.7867","2578","7407","thing","Cathedral","2","2","20","20","20","1979","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
